degree,k_ij
7,727.5714285714286
433,7.38568129330254
6,776.6666666666666
30,22.733333333333334
55,42.18181818181818
5,5.6
3103,5.977763454721238
1461,11.35523613963039
1,1995.0
1995,4.255137844611529
3,148.33333333333334
432,5.921296296296297
4,6.25
9,6.444444444444445
1,279.0
279,13.971326164874553
1,18.0
18,8.5
2,6.5
9,9.777777777777779
4,2.5
8,79.0
5,379.0
209,8.760765550239235
141,9.070921985815604
235,8.923404255319149
2,15.0
2,5.5
1,8.0
37,9.0
1,3024.0
3024,5.207671957671957
2,374.0
677,8.751846381093058
71,4.52112676056338
2,2.0
3,1037.0
1,2.0
2,310.0
44,9.704545454545455
576,8.788194444444445
5,359.2
22,13.454545454545455
1,5.0
1056,8.75
4,258.0
699,9.665236051502147
23,24.52173913043478
4,115.25
306,12.620915032679738
1,46.0
46,7.413043478260869
2,689.5
875,10.317714285714287
504,7.628968253968254
1,3103.0
1,4.0
4,1.0
4,98.5
5,12.0
76,5.802631578947368
3,130.0
310,7.390322580645162
1,449.0
449,7.131403118040089
3,2044.6666666666667
7,5.714285714285714
5,785.0
866,16.59699769053118
1053,6.0750237416904085
620,18.696774193548386
937,18.345784418356455
2,12.5
19,15.894736842105264
1,1.0
1,1.0
1,3.0
3,1.3333333333333333
1,3.0
3,191.0
1,3.0
571,10.527145359019265
1,3.0
2,1768.0
15,463.8666666666667
393,13.877862595419847
11,130.1818181818182
138,13.96376811594203
24,7.416666666666667
287,27.156794425087107
18,52.27777777777778
67,15.194029850746269
44,13.159090909090908
11,17.636363636363637
153,16.11764705882353
286,12.363636363636363
16,259.5
1,16.0
832,17.80048076923077
1,16.0
8,25.75
6,637.1666666666666
15,16.733333333333334
3,239.33333333333334
4,30.5
138,12.5
3,5.333333333333333
11,3.909090909090909
2,3.0
3,2.6666666666666665
3,4.0
5,18.0
1,5.0
77,8.909090909090908
5,9.0
111,12.927927927927929
2,45.0
13,48.61538461538461
1,114.0
114,7.859649122807017
1,1.0
1,1.0
8,432.0
18,6.5
7,15.0
2,14.5
23,10.956521739130435
6,6.0
5,362.0
173,10.208092485549132
1,5.0
134,25.21641791044776
1,3024.0
4,417.0
380,5.842105263157895
218,10.577981651376147
14,4.571428571428571
2,1800.0
2,1560.5
18,5.111111111111111
1,1461.0
5,1089.6
67,105.77611940298507
2,218.5
5,2.0
17,84.11764705882354
46,31.41304347826087
34,25.529411764705884
10,47.2
5,57.2
4,69.0
4,69.0
80,27.1
6,48.666666666666664
86,18.988372093023255
289,19.262975778546714
40,23.775
15,45.6
412,17.42233009708738
119,26.45378151260504
176,22.0625
59,25.64406779661017
45,14.866666666666667
2,998.5
2,2.0
5,109.4
2,3.0
22,219.95454545454547
24,10.583333333333334
67,13.477611940298507
6,3.8333333333333335
3,1263.6666666666667
11,3.8181818181818183
1,18.0
2,3063.5
1,3024.0
5,111.6
30,7.866666666666666
2,4.5
5,71.8
44,12.363636363636363
477,10.20125786163522
1,329.0
329,7.914893617021277
4,132.0
3,520.6666666666666
7,200.42857142857142
1,7.0
1,7.0
303,9.05940594059406
26,47.69230769230769
18,12.38888888888889
1,7.0
1,234.0
234,6.594017094017094
2,150.5
4,3.0
297,7.1447811447811445
2,1557.5
12,3.1666666666666665
1,2.0
2,1.0
2,72.5
11,5.909090909090909
2,88.5
176,9.960227272727273
1,2.0
1,234.0
4,396.25
368,7.684782608695652
26,7.653846153846154
138,6.159420289855072
4,18.0
3,2.3333333333333335
42,3.6904761904761907
26,4.0
4,485.25
71,27.6056338028169
3,4.0
8,2.0
2,5.5
8,143.125
97,36.04123711340206
32,12.9375
1,8.0
3,4.333333333333333
84,19.13095238095238
167,13.377245508982035
4,23.75
4,19.5
1,3103.0
1,3103.0
1,232.0
232,11.280172413793103
2,1513.0
2,1513.0
1,3024.0
1,3024.0
1,3024.0
1,3024.0
1,3024.0
2,1513.0
2,3.5
1,3024.0
3,1010.3333333333334
2,3.0
5,3.0
3,1010.3333333333334
1,3024.0
1,3024.0
7,711.5714285714286
45,6.977777777777778
112,11.9375
4,775.25
5,4.2
42,7.571428571428571
30,167.06666666666666
1,37.0
37,1.0
1,1.0
1,1.0
1,170.0
170,13.658823529411764
7,705.7142857142857
132,13.454545454545455
2,12.0
15,10.8
1,15.0
3,6.333333333333333
2,76.5
6,180.66666666666666
1,15.0
8,42.625
2,9.0
1,15.0
1,15.0
79,7.037974683544304
26,149.03846153846155
4,20.75
26,9.192307692307692
1,15.0
1,15.0
2,1837.0
3,71.0
5,1.6
206,9.805825242718447
2,2.5
2,1004.0
13,40.69230769230769
5,1132.8
2,43.5
79,60.063291139240505
8,12.875
3,20.333333333333332
3,3.0
54,7.814814814814815
4,2.25
1,576.0
7,507.57142857142856
4,7.5
70,15.9
20,9.55
132,11.409090909090908
15,321.8666666666667
4,566.25
1,4.0
1,297.0
1,66.0
66,13.696969696969697
3,721.0
3,106.0
2,4.5
2,1590.5
78,10.551282051282051
2,1582.5
141,19.5531914893617
6,576.5
3,6.666666666666667
53,18.660377358490567
10,330.2
1,1.0
1,1.0
3,36.666666666666664
6,5.0
93,4.161290322580645
11,15.0
2,354.5
3,1009.0
2,3.5
1,3.0
5,705.6
2,1514.5
6,342.5
1,6.0
5,5.2
35,4.8
21,66.23809523809524
10,484.3
68,14.411764705882353
1,10.0
6,6.666666666666667
4,10.5
35,5.514285714285714
8,219.625
236,23.622881355932204
30,22.833333333333332
17,12.529411764705882
6,16.166666666666668
3,41.333333333333336
42,9.666666666666666
74,15.216216216216216
2,242.5
2,734.5
9,767.1111111111111
22,16.136363636363637
130,40.753846153846155
66,7.545454545454546
1,3103.0
3,1011.6666666666666
1,3.0
10,329.0
19,167.47368421052633
6,7.666666666666667
71,10.056338028169014
82,76.73170731707317
29,170.82758620689654
10,20.8
37,110.1891891891892
9,14.333333333333334
15,223.26666666666668
8,8.375
11,305.6363636363636
27,117.92592592592592
8,398.0
4,772.0
4,772.0
8,403.5
14,303.57142857142856
3,16.333333333333332
3,1230.6666666666667
13,6.923076923076923
2,1069.0
3,296.6666666666667
237,18.367088607594937
8,188.375
2,1555.5
3,3.6666666666666665
2,7.0
63,3.126984126984127
7,6.714285714285714
2,12.5
1,2.0
1,3103.0
4,23.25
21,200.42857142857142
19,5.052631578947368
50,8.28
3,9.0
4,272.75
33,20.636363636363637
7,6.857142857142857
1,234.0
1,439.0
439,6.685649202733485
5,750.8
57,6.526315789473684
79,9.430379746835444
3,275.0
3,3.6666666666666665
819,6.358974358974359
3,5.333333333333333
5,827.0
2,1980.5
4,226.0
6,5.833333333333333
1,3103.0
2,298.5
21,5.523809523809524
7,493.42857142857144
174,6.5
32,12.9375
80,74.8
10,10.9
92,19.22826086956522
2,359.0
41,11.487804878048781
5,617.8
16,218.875
5,606.8
3,1037.0
2,1514.5
2,1514.5
3,1011.3333333333334
2,1513.5
3,1009.3333333333334
2,1513.5
5,609.2
4,760.5
3,1012.3333333333334
9,466.1111111111111
6,578.1666666666666
5,608.2
8,434.75
3,1011.3333333333334
8,46.625
7,4.857142857142857
19,10.31578947368421
145,11.055172413793104
32,9.78125
1,8.0
1,8.0
1,8.0
1,1.0
1,1.0
9,610.1111111111111
7,8.142857142857142
11,203.63636363636363
102,10.892156862745098
106,11.339622641509434
15,2.8666666666666667
8,280.25
29,190.9655172413793
289,42.346020761245676
20,285.0
127,73.4251968503937
40,187.625
39,234.64102564102564
2,1767.5
1,3024.0
3,104.66666666666667
15,7.266666666666667
2,23.5
44,3.477272727272727
2,853.5
6,315.8333333333333
3,17.666666666666668
4,8.5
1,32.0
2,485.0
3,16.0
2,23.5
1,1.0
1,1.0
2,22.5
1,2.0
3,97.66666666666667
13,9.615384615384615
1,44.0
3,18.333333333333332
10,408.3
1,3.0
4,274.75
2,470.5
7,7.285714285714286
1,44.0
5,189.2
3,7.666666666666667
54,19.425925925925927
262,26.232824427480917
1,54.0
54,17.11111111111111
3,42.0
11,9.0
1,44.0
2,16.0
5,8.8
27,72.88888888888889
1,44.0
1,44.0
3,73.66666666666667
4,10.75
75,10.066666666666666
142,17.3943661971831
5,147.6
110,5.7
1,5.0
5,2.2
2,220.0
1,2.0
2,2282.0
1,504.0
51,245.47058823529412
60,27.55
21,30.714285714285715
119,10.420168067226891
1,51.0
146,12.23972602739726
13,12.384615384615385
13,10.384615384615385
9,16.444444444444443
15,18.666666666666668
6,25.0
12,19.583333333333332
44,19.204545454545453
56,15.017857142857142
2,28.0
162,12.635802469135802
3,18.0
170,32.358823529411765
2,26.5
9,16.444444444444443
7,12.428571428571429
20,26.65
2,36.0
1,51.0
3,25.666666666666668
1,51.0
6,24.333333333333332
20,7.35
8,20.625
29,13.413793103448276
27,15.11111111111111
3,1392.0
17,4.529411764705882
1,3103.0
8,200.375
3,1154.6666666666667
3,37.333333333333336
33,13.454545454545455
4,3.75
28,126.64285714285714
17,42.705882352941174
3,18.333333333333332
9,4.0
2,3.0
4,941.0
178,8.882022471910112
2,1588.5
74,4.972972972972973
3,116.33333333333333
36,9.0
3,2.6666666666666665
1,3103.0
38,270.8421052631579
4,17.5
17,13.588235294117647
6,15.5
4,17.25
44,20.113636363636363
61,8.688524590163935
2,19.5
125,6.208
2,88.5
66,5.96969696969697
2,1771.0
14,342.42857142857144
362,9.408839779005525
3,1087.3333333333333
45,7.4
1,14.0
35,5.742857142857143
2,55.5
2,538.5
21,45.142857142857146
4,17.5
22,7.363636363636363
5,14.2
2,5.0
4,19.25
6,13.166666666666666
11,10.909090909090908
6,13.0
3,177.0
471,12.522292993630574
3,21.666666666666668
5,14.6
3,21.666666666666668
4,17.25
4,17.5
6,72.33333333333333
4,18.0
2,30.0
3,22.0
5,14.8
2,4.5
6,90.83333333333333
4,3.5
4,17.0
3,251.33333333333334
8,28.25
1,8.0
4,3.75
4,6.25
53,83.77358490566037
161,15.335403726708075
1,8.0
1,8.0
1,8.0
3,1182.3333333333333
5,661.8
1,175.0
175,8.114285714285714
1,66.0
1,237.0
9,567.0
188,7.659574468085107
5,56.2
2,18.0
1,2.0
3,1010.3333333333334
1,3.0
6,13.0
1,477.0
4,349.5
3,18.0
2,16.0
1,1995.0
12,41.25
6,11.833333333333334
4,510.25
36,68.44444444444444
29,6.793103448275862
7,8.285714285714286
7,14.0
39,7.256410256410256
19,43.578947368421055
190,8.973684210526315
3,33.0
4,4.25
4,509.5
10,9.5
12,23.666666666666668
23,208.7826086956522
7,13.285714285714286
2,12.0
11,209.8181818181818
105,25.752380952380953
38,15.105263157894736
22,20.045454545454547
4,23.25
12,12.083333333333334
4,43.0
5,35.8
3,22.0
3,11.0
7,15.142857142857142
29,131.20689655172413
1,29.0
4,523.25
54,19.51851851851852
28,15.107142857142858
3,16.333333333333332
1,29.0
10,19.4
3,16.333333333333332
2,15.0
11,20.818181818181817
4,189.0
32,13.9375
1,29.0
69,14.217391304347826
18,206.0
11,9.181818181818182
19,19.263157894736842
2,46.0
14,159.35714285714286
2,17.5
3,16.333333333333332
10,592.0
7,39.857142857142854
3,25.0
2,19.5
10,56.0
4,504.0
1,10.0
5,8.4
16,8.3125
5,19.2
40,10.275
1,5.0
3,17.0
45,20.866666666666667
3,1057.6666666666667
7,27.142857142857142
5,12.4
21,259.7142857142857
14,265.7857142857143
1,21.0
8,40.25
10,11.1
1,3103.0
3,707.3333333333334
29,12.96551724137931
1,10.0
3,680.3333333333334
3,55.333333333333336
58,57.39655172413793
1,2.0
31,16.903225806451612
8,825.0
1,105.0
1,439.0
8,17.375
11,11.0
7,18.428571428571427
2,149.5
1,3103.0
2,1553.0
3,304.3333333333333
69,16.536231884057973
1,439.0
1,677.0
5,759.4
1,5.0
13,471.46153846153845
2,39.5
1,13.0
3,6.666666666666667
16,12.0625
1,13.0
2,390.0
1,1.0
1,1.0
1,3103.0
1,104.0
104,3.7788461538461537
1,11.0
11,3.3636363636363638
25,365.64
1,25.0
19,17.94736842105263
22,21.09090909090909
20,16.4
8,16.125
15,15.333333333333334
21,13.761904761904763
26,15.73076923076923
245,16.844897959183672
142,15.809859154929578
6,124.16666666666667
6,8.166666666666666
1,6.0
11,11.545454545454545
133,11.902255639097744
1,3103.0
1,25.0
12,278.0
1,12.0
1,1053.0
2,2282.0
3,1678.3333333333333
2,48.0
3,2.6666666666666665
1,1053.0
2,32.5
10,11.7
4,1254.75
1,57.0
2,409.5
1,35.0
13,478.3076923076923
5,7.0
71,14.014084507042254
164,21.634146341463413
1,3024.0
7,353.2857142857143
14,7.214285714285714
1,362.0
14,299.2857142857143
24,9.708333333333334
1,14.0
8,61.0
25,33.28
11,478.45454545454544
64,14.65625
72,99.93055555555556
9,276.0
1,9.0
104,8.288461538461538
2,1768.0
1,62.0
62,39.725806451612904
4,1209.75
99,87.5050505050505
1,3.0
3,19.0
1,504.0
1,3103.0
1,3024.0
1,3024.0
1,3024.0
2,1803.5
1,1995.0
4,197.0
10,4.8
2,911.5
1,174.0
5,1004.2
1,875.0
1,3103.0
3,490.3333333333333
1,3103.0
4,869.5
8,6.25
2,1728.0
