package,requirement
00017,03544
00017,11976
00017,12143
00017,18112
00017,19172
00017,20683
00017,22065
00018,06526
00020,09169
00020,15932
00020,19528
00021,09184
00022,09773
00023,03742
00023,18877
00024,09293
00024,11109
00024,17626
00024,18098
00024,19124
00024,19696
00024,19915
00024,21674
00025,06488
00026,14037
00026,17180
02362,02413
02363,02362
02364,02875
02364,02951
02365,02951
02365,13918
02365,17626
02365,18380
02365,20016
02369,12914
02369,14701
02369,16396
02369,18335
02370,16755
02371,15581
02371,21992
00043,20683
02372,23824
02373,18498
02373,20355
02373,22405
02373,23924
00027,21381
02374,06488
02374,18143
02374,20683
02375,14753
02375,15732
02375,19254
02375,21381
02375,22444
02376,05675
00044,05891
02377,23043
02378,23043
02379,09718
02379,19457
02379,23416
02380,03544
02380,20683
02381,10299
02381,14753
02381,18490
02381,18517
02381,19199
02381,19254
02381,19273
02381,19295
02381,19319
02381,19349
02381,20683
02381,20780
02381,22444
02381,22470
02381,24007
02382,00045
02382,05780
02382,10397
02382,11977
02382,14753
02382,18490
02382,19254
02382,19273
02382,19295
02382,19319
02382,19334
02382,19349
02382,22444
02382,22470
02382,22620
02382,24007
02384,02391
02384,02951
02384,18774
02386,23988
02387,02386
02388,02386
02388,02387
02388,02390
02389,02385
02389,02390
02389,02391
02389,05616
02389,24229
02391,02390
02391,06265
02394,05616
02394,25010
02395,11269
02396,24702
02397,10299
02397,18509
02397,18517
02397,19254
02397,19273
02397,19323
02397,20016
02397,22444
00046,11116
00046,19568
02399,00006
02399,02042
02399,15451
02399,15732
02399,21381
02400,06488
02401,03906
02401,12112
02401,13078
02401,20016
02402,02951
02402,06488
02403,20683
02403,20686
02404,22065
02405,05780
02405,12114
02405,15581
02405,19457
02405,20683
02406,09169
02406,11328
00047,02415
00047,06184
00047,09963
00047,16624
00047,20416
00047,20779
00047,24064
00047,26115
00047,26171
00047,26235
00047,26237
00047,26244
00047,26264
00047,26279
00047,26281
00047,26282
00047,26294
02408,06526
02408,07909
02410,09169
02410,09958
02410,11508
02410,12596
02410,16805
02413,11757
02413,20683
02414,14037
02414,16733
02414,20683
02417,09773
02416,06488
02416,20683
02419,06488
00048,12409
00048,16290
00048,16654
00048,18626
00048,22682
02422,20443
00049,16290
00049,16654
00049,18626
00049,22682
02423,18498
02423,19254
02423,22444
02424,15732
02424,16016
02424,16083
02424,16317
02424,23176
02424,23898
02424,26001
00050,18607
02425,16335
02425,24359
02429,16296
02429,20683
02430,02428
02431,15451
02431,18366
02432,16390
02432,18637
00051,18607
00028,14268
00028,15405
00028,15732
00028,16763
02433,13746
02433,14052
02433,19523
02435,03080
02435,14268
02435,15732
02435,21381
02436,12172
02436,14853
02438,09169
02438,11667
02438,11938
02438,15499
02438,19518
02438,20443
02438,24608
02438,25325
02439,18503
02440,20683
02441,20683
00052,25541
02442,06488
02443,02442
02443,06488
02444,06488
02445,06488
02446,06488
02447,06488
02448,06488
02449,06488
02449,17443
02450,06488
02455,02456
02455,06488
02455,19069
02457,02456
02457,06488
02457,19069
02451,06488
02452,06488
02458,02951
02458,03544
02458,05618
02458,17626
02458,19457
02458,20683
02458,25152
02453,02921
02453,02927
02453,06488
02453,16942
02459,19861
02460,15042
02460,15042
02461,06056
02462,02951
02462,03906
02462,16390
02462,17374
02462,19457
02462,19976
02462,20683
02463,02464
02463,03992
02463,05764
02463,05765
02463,05768
02463,10613
02463,14443
02463,15673
02463,16291
02463,16446
02463,20651
02463,20766
02463,25236
02463,25528
02463,25586
02465,19457
02465,20683
02467,06375
02467,14221
02467,19614
02468,06526
02468,19612
02469,12114
02469,14753
02469,20683
02469,22065
02469,25325
02470,12064
02470,24353
02471,10630
02471,11418
02471,26340
02472,02951
02473,03989
02473,04458
02473,10067
02473,11109
02473,18760
02473,20683
02473,23212
00053,13612
00053,19457
00053,22065
00053,25541
02474,24359
02475,05893
02476,03544
02476,14037
02476,15732
02477,06054
02477,23924
02478,09759
02478,20683
02480,06488
02480,18271
02481,04320
02481,06488
02481,11588
02481,24064
02481,25905
02481,26235
02483,02979
02484,16192
02484,17651
02484,23003
02485,24359
02485,26264
02486,05617
02486,06135
02486,06488
02487,06488
02487,19199
02487,22682
02487,26323
02488,06459
02488,15165
02488,15170
02488,20016
02488,22444
02488,22451
02490,06488
02490,16093
02490,18021
02490,18212
02490,19457
02490,20016
02490,20354
02490,20355
02490,23586
02491,03331
02491,12716
02491,16411
02491,19879
02491,22065
02492,02491
02492,16021
02492,25631
02493,02491
02493,22682
02494,02491
02494,22065
02495,03353
02495,12914
02495,17741
02495,19254
02495,19457
02495,20683
02495,22065
02495,25280
02495,25541
02496,20683
02497,06488
02497,16948
02498,02497
02498,05013
02498,05509
02498,06488
02498,16916
02498,16931
02498,16977
02498,17009
02498,17026
02498,17035
02499,05013
02499,05509
02499,05513
02499,06488
02499,16916
02499,16931
02499,16977
02499,16979
02499,17009
02499,17026
02499,17035
02499,25756
02499,25760
02499,25772
02499,25774
02500,05013
02500,05187
02500,05509
02500,06488
02500,16916
02500,16931
02500,17035
02500,17409
02501,02951
02501,13924
02501,20683
00054,14037
00054,22065
02502,02951
02502,05616
02502,17631
00029,03694
00029,05962
00029,15732
00029,16317
00029,22767
00029,23013
00029,24695
00029,25631
02504,12596
02504,17787
02505,20683
00056,13137
00056,17284
00056,17540
00056,18139
00055,02615
00055,11269
00055,15047
00055,22444
02506,18607
02507,04692
00057,03788
00057,04692
00057,10842
00057,20355
00057,20683
00058,02509
00058,10323
00058,10416
00059,10323
00059,10416
00059,15451
00059,20355
00059,20683
02510,06488
02510,22444
00060,02509
00060,10323
00060,20355
00060,22406
02511,20683
02512,02951
02512,18851
02513,02927
02513,03543
02513,05287
02513,06488
02513,16961
02513,17355
02513,17435
02514,14037
02514,14334
02515,06488
02515,15547
02515,26237
02516,02518
02516,02519
02516,02522
02516,02523
02516,06488
02517,06488
02518,06488
02518,16931
02519,06488
02520,02517
02520,02524
02520,06488
02521,02525
02521,06488
02521,15551
02521,15552
02521,15554
02522,06488
02523,02526
02523,06488
02524,06488
02525,02515
02525,06488
02525,15549
02526,02515
02526,06488
02526,15554
02526,15555
02527,03375
02527,10609
02527,14147
02527,21017
02527,25325
02528,02527
02529,02527
02530,02527
02531,02878
02532,06488
02532,06526
02532,10560
02532,11495
02532,15238
02532,16390
02532,18112
02532,24950
02532,25676
02533,05780
02533,09104
02533,11704
02533,11751
02533,14753
02533,16155
02533,19563
02533,19773
02534,09169
02534,20683
02535,06488
02536,16805
02536,18772
02536,25541
02539,02549
02540,05780
02540,15581
02542,02549
02542,19254
02542,19256
02542,19273
02542,19337
02542,22444
02543,11938
02547,02615
02547,22444
02548,02549
02548,02565
02537,17698
02554,02549
02554,23620
02550,02549
02550,03331
02550,22418
02551,02549
02552,02549
02552,11631
02552,25574
02555,22444
02555,22448
02555,22458
02555,22470
02553,02549
02556,19254
02556,19323
02556,21688
02556,24354
02556,25341
02557,02981
02560,03114
02560,06265
02561,02549
02563,02562
02563,21045
02538,02549
02564,02549
02565,02549
02567,02566
02567,15070
02567,20032
02568,03915
02568,04446
02568,14147
02568,16106
02568,22682
02570,02569
02570,04692
02572,20683
02572,22065
02573,21992
02574,02651
02574,03503
02574,03906
02574,04407
02574,04516
02574,05780
02574,05784
02574,05854
02574,05893
02574,06437
02574,10204
02574,10299
02574,10323
02574,10324
02574,10338
02574,10350
02574,10399
02574,10488
02574,10544
02574,10838
02574,11667
02574,11946
02574,12637
02574,12856
02574,12914
02574,13577
02574,14037
02574,14221
02574,15241
02574,15581
02574,15594
02574,16317
02574,17631
02574,18174
02574,18335
02574,18405
02574,18473
02574,19163
02574,19457
02574,20443
02574,20683
02574,21674
02574,22119
02574,22444
02574,22446
02574,22468
02574,22470
02574,22682
02574,22847
02574,23586
02574,24594
02575,10529
02575,20016
02575,20683
02576,20683
02577,10867
02577,11418
02577,15649
02577,15779
02577,17588
02577,20483
02577,22065
02577,24685
02578,02875
02578,06407
02578,21117
02579,02875
02579,04692
02579,05528
02579,20683
02581,20683
02581,25669
02582,14876
02582,23922
02582,23924
00061,20683
02583,05698
02583,06488
02583,11109
02583,11114
02583,11116
02583,11178
02583,12826
02583,14037
02583,16434
02583,16642
02583,16805
02583,17626
02583,18760
02583,19454
02583,20016
02583,20683
02583,21674
02583,22065
02583,23415
02584,06265
02584,06636
02585,04692
02585,20683
02586,11109
02586,11114
02586,11116
02586,14037
02586,16434
02586,16770
02586,17626
02586,18760
02586,19416
02586,19452
02586,19499
02586,19581
02586,20415
02586,20683
02587,05532
02587,20016
02588,02583
02588,02591
02589,02583
02589,02591
02589,19384
02590,02583
02590,02591
02590,02603
02590,21453
02591,02583
02591,11178
02591,12826
02591,21674
02592,02583
02592,02591
02592,02603
02593,02583
02593,02591
02593,19909
02594,02583
02594,02591
02594,02595
02595,02583
02595,02591
02596,02583
02596,02589
02596,02591
02597,02583
02597,02588
02597,02591
02597,02595
02598,02583
02598,02591
02598,02605
02598,12826
02599,02583
02599,02591
02600,02583
02600,02591
02601,02583
02601,02591
02601,02592
02602,02583
02602,02591
02602,02592
02602,24674
02603,02583
02603,02591
02603,02595
02603,02599
02604,02583
02604,02589
02604,02591
02604,02599
02604,02602
02604,19909
02605,02583
02605,02588
02605,02591
02605,16770
02605,19246
02606,02583
02606,02591
02606,02592
02606,24674
02607,02549
02607,03114
02607,12914
00062,02608
00062,02705
00062,12097
00062,19610
00062,25257
00062,25365
00062,25366
00062,25367
02609,04692
02609,09574
02609,20683
00063,18902
02610,06636
02614,17631
00064,05528
00064,10004
00064,12914
00064,16755
00064,18098
00064,19254
00064,19308
00064,20683
00064,22847
02616,12318
02616,15170
02617,06488
02617,16096
02617,26283
00065,22682
02618,19254
02618,22682
02618,24359
02620,07339
02621,06526
02623,02629
02623,06636
02623,06638
02623,06873
02623,07239
02623,07433
02623,08245
02623,08513
02623,08959
02623,22376
02623,24608
02625,06636
02625,07099
02625,07239
02626,06526
02626,07914
02626,08638
02628,02620
02628,02624
02628,02644
02628,03543
02628,04853
02628,06886
02628,06918
02628,07239
02628,07433
02628,07914
02628,08177
02628,08194
02628,08322
02628,08638
02628,08938
02628,08943
02628,08952
02628,08959
02628,14037
02628,16770
02628,20683
02628,22376
02628,25899
02629,02624
02629,08412
02630,02620
02630,02627
02630,02643
02630,03906
02630,04448
02630,04692
02630,05893
02630,06503
02630,06505
02630,06509
02630,06514
02630,06526
02630,06636
02630,06799
02630,07091
02630,07339
02630,08177
02630,08475
02630,09017
02630,15351
02630,15965
02630,17631
02630,18760
02630,20315
02630,22376
02630,22953
02630,23005
02630,24765
02630,25273
02631,02622
02631,02624
02631,02640
02631,02642
02631,02647
02631,06526
02631,06573
02631,06574
02631,06886
02631,07914
02631,08177
02631,08412
02631,08513
02631,08959
02632,02624
02632,06886
02632,07151
02632,07239
02632,08322
02632,08362
02632,08510
02632,08959
02632,16770
02632,23178
02633,02624
02633,07239
02633,08959
02633,09470
02634,02633
02635,06573
02635,15783
02635,19035
02636,07239
02636,07433
02636,08245
02636,08513
02636,08959
02636,24075
02636,24608
02637,02622
02637,02624
02637,02626
02637,02629
02637,02638
02637,02640
02637,02647
02637,03347
02637,06526
02637,06638
02637,06886
02637,07239
02637,07914
02637,08177
02637,08412
02637,08513
02637,08959
02637,14037
02637,19457
02637,19457
02637,19909
02637,22065
02638,02624
02638,02629
